Name,Description,Gen.
Adaptability,"Powers up moves of the same type.",4
Aerilate,"Turns Normal-type moves into Flying-type moves.",6
Aftermath,"Damages the attacker landing the finishing hit.",4
Air Lock,"Eliminates the effects of weather.",3
Analytic,"Boosts move power when the Pokémon moves last.",5
Anger Point,"Maxes Attack after taking a critical hit.",4
Anger Shell,"Lowers Defense/Sp. Def and raises Attack/Sp. Atk/Speed when HP drops below half.",9
Anticipation,"Senses a foe's dangerous moves.",4
Arena Trap,"Prevents the foe from fleeing.",3
Armor Tail,"Prevents opponent using priority moves.",9
Aroma Veil,"Protects allies from attacks that limit their move choices.",6
As One,"Combines Unnerve and Chilling Neigh/Grim Neigh",8
Aura Break,"Reduces power of Dark- and Fairy-type moves.",6
Bad Dreams,"Reduces a sleeping foe's HP.",4
Ball Fetch,"Retrieves a Poké Ball from a failed throw.",8
Battery,"Raises power of teammates' Special moves.",7
Battle Armor,"The Pokémon is protected against critical hits.",3
Battle Bond,"Transform into Ash-Greninja after causing opponent to faint.",7
Beads of Ruin,"Lowers Special Defense of all Pokémon except itself.",9
Beast Boost,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.",7
Berserk,"Raises Special Attack when HP drops below half.",7
Big Pecks,"Protects the Pokémon from Defense-lowering attacks.",5
Blaze,"Powers up Fire-type moves in a pinch.",3
Bulletproof,"Protects the Pokémon from ball and bomb moves.",6
Cheek Pouch,"Restores additional HP when a Berry is consumed.",6
Chilling Neigh,"Boosts Attack after knocking out a Pokémon.",8
Chlorophyll,"Boosts the Pokémon's Speed in sunshine.",3
Clear Body,"Prevents other Pokémon from lowering its stats.",3
Cloud Nine,"Eliminates the effects of weather.",3
Color Change,"Changes the Pokémon's type to the foe's move.",3
Comatose,"The Pokémon is always asleep but can still attack.",7
Commander,"Goes inside the mouth of an ally Dondozo if one is on the field.",9
Competitive,"Sharply raises Special Attack when the Pokémon's stats are lowered.",6
Compound Eyes,"The Pokémon's accuracy is boosted.",3
Contrary,"Makes stat changes have an opposite effect.",5
Corrosion,"The Pokémon can poison Steel and Poison types.",7
Costar,"Copies ally's stat changes on entering battle.",9
Cotton Down,"Lowers foe's Speed when hit.",8
Cud Chew,"Can eat the same Berry twice.",9
Curious Medicine,"Resets all stat changes upon entering battlefield.",8
Cursed Body,"May disable a move used on the Pokémon.",5
Cute Charm,"Contact with the Pokémon may cause infatuation.",3
Damp,"Prevents the use of self-destructing moves.",3
Dancer,"Copies the foe's Dance moves.",7
Dark Aura,"Raises power of Dark type moves for all Pokémon in battle.",6
Dauntless Shield,"Boosts Defense in battle.",8
Dazzling,"Protects the Pokémon from high-priority moves.",7
Defeatist,"Lowers stats when HP drops below half.",5
Defiant,"Sharply raises Attack when the Pokémon's stats are lowered.",5
Delta Stream,"Creates strong winds when the ability activates.",6
Desolate Land,"Turns the sunlight extremely harsh when the ability activates.",6
Disguise,"Avoids damage for one turn.",7
Download,"Adjusts power according to a foe's defenses.",4
Dragon's Maw,"Powers up Dragon-type moves.",8
Drizzle,"The Pokémon makes it rain when it enters a battle.",3
Drought,"Turns the sunlight harsh when the Pokémon enters a battle.",3
Dry Skin,"Reduces HP if it is hot. Water restores HP.",4
Early Bird,"The Pokémon awakens quickly from sleep.",3
Earth Eater,"Restores HP when hit by a Ground-type move.",9
Effect Spore,"Contact may poison or cause paralysis or sleep.",3
Electric Surge,"The Pokémon creates an Electric Terrain when it enters a battle.",7
Electromorphosis,"Doubles power of the next Electric-type move when hit by an attack.",9
Emergency Exit,"Switches out when HP falls below 50%.",7
Fairy Aura,"Raises power of Fairy type moves for all Pokémon in battle.",6
Filter,"Reduces damage from super-effective attacks.",4
Flame Body,"Contact with the Pokémon may burn the attacker.",3
Flare Boost,"Powers up special attacks when burned.",5
Flash Fire,"It powers up Fire-type moves if it's hit by one.",3
Flower Gift,"Powers up party Pokémon when it is sunny.",4
Flower Veil,"Prevents lowering of ally Grass-type Pokémon's stats.",6
Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",7
Forecast,"Castform transforms with the weather.",3
Forewarn,"Determines what moves a foe has.",4
Friend Guard,"Reduces damage done to allies.",5
Frisk,"The Pokémon can check a foe's held item.",4
Full Metal Body,"Prevents other Pokémon from lowering its stats.",7
Fur Coat,"Reduces damage from physical moves.",6
Gale Wings,"Gives priority to Flying-type moves.",6
Galvanize,"Normal-type moves become Electric-type moves and their power boosted.",7
Gluttony,"Encourages the early use of a held Berry.",4
Good as Gold,"Gives immunity to status moves.",9
Gooey,"Contact with the Pokémon lowers the attacker's Speed stat.",6
Gorilla Tactics,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move.",8
Grass Pelt,"Boosts the Defense stat in Grassy Terrain.",6
Grassy Surge,"The Pokémon creates a Grassy Terrain when it enters a battle.",7
Grim Neigh,"Boosts Special Attack after knocking out a Pokémon.",8
Guard Dog,"Boosts Attack if intimidated, and prevents being forced to switch out.",9
Gulp Missile,"Returns with a catch in its mouth after using Surf or Dive.",8
